n_units,fission_kw,capex_M,mean_reliability,p5_reliability,colony
1,40,32.2,0.0509,0.0341,100p
2,80,64.5,0.077,0.0653,100p
4,160,129.0,0.1419,0.1182,100p
6,240,193.5,0.2468,0.2201,100p
8,320,258.0,0.9954,0.991,100p
12,480,387.0,0.996,0.9924,100p
16,640,516.0,0.9958,0.991,100p
20,800,645.0,0.0242,0.015,2000p
40,1600,1290.0,0.0505,0.0269,2000p
60,2400,1935.0,0.0796,0.0567,2000p
80,3200,2580.0,0.1147,0.0868,2000p
100,4000,3225.0,0.1573,0.1285,2000p
120,4800,3870.0,0.2166,0.1826,2000p
160,6400,5160.0,0.9952,0.991,2000p
200,8000,6450.0,0.9959,0.9924,2000p
