solar_kw,mean_reliability,p5_reliability,scenario
200,0.9953,0.991,100p_solar_fission
454,0.9958,0.9909,100p_solar_fission
709,0.996,0.991,100p_solar_fission
963,0.9965,0.9924,100p_solar_fission
1218,0.9962,0.991,100p_solar_fission
1472,0.9967,0.9925,100p_solar_fission
1727,0.997,0.9939,100p_solar_fission
1981,0.9977,0.994,100p_solar_fission
2236,0.9984,0.9955,100p_solar_fission
2490,0.9991,0.997,100p_solar_fission
2745,0.9998,0.9985,100p_solar_fission
3000,0.9997,0.9985,100p_solar_fission
200,-0.0,-0.0,100p_solar_only
454,0.0045,0.0045,100p_solar_only
709,0.0546,0.0359,100p_solar_only
963,0.1012,0.0778,100p_solar_only
1218,0.1377,0.0972,100p_solar_only
1472,0.1705,0.1466,100p_solar_only
1727,0.1975,0.1617,100p_solar_only
1981,0.2228,0.2046,100p_solar_only
2236,0.2389,0.1973,100p_solar_only
2490,0.2622,0.2379,100p_solar_only
2745,0.2733,0.2333,100p_solar_only
3000,0.2925,0.25,100p_solar_only
5000,0.9952,0.991,2000p_solar_fission
9090,0.996,0.9924,2000p_solar_fission
13181,0.9963,0.9925,2000p_solar_fission
17272,0.9962,0.9925,2000p_solar_fission
21363,0.9961,0.9924,2000p_solar_fission
25454,0.9965,0.9925,2000p_solar_fission
29545,0.9966,0.9925,2000p_solar_fission
33636,0.9976,0.994,2000p_solar_fission
37727,0.9976,0.994,2000p_solar_fission
41818,0.9984,0.9969,2000p_solar_fission
45909,0.9988,0.9955,2000p_solar_fission
50000,0.9993,0.997,2000p_solar_fission
5000,0.0015,0.0015,2000p_solar_only
9090,0.0043,0.0045,2000p_solar_only
13181,0.0436,0.024,2000p_solar_only
17272,0.085,0.0641,2000p_solar_only
21363,0.1182,0.0853,2000p_solar_only
25454,0.1485,0.125,2000p_solar_only
29545,0.1707,0.1402,2000p_solar_only
33636,0.1934,0.1658,2000p_solar_only
37727,0.2124,0.179,2000p_solar_only
41818,0.2324,0.2109,2000p_solar_only
45909,0.2469,0.2154,2000p_solar_only
50000,0.2603,0.2245,2000p_solar_only
